[Body Part, Roots]
[abdomen, lapar abdomin]
[aorta, aort aorto]
[arm, brachi arm]
[armpit, maschal acill]
[artery, arteri]
[back, not dors]
[big toe, allic]
[bladder, cyst vesic]
[blood, haemat hemat haem hem sangui sanguin]
[blood clot, thromb]
[blood vessel, angi vas vascul]
[body, somat som corpor]
[bone, oste ossi]
[bone marrow, myel medull]
[marrow, myel medull]
[brain, encephal encephalo cerebr]
[breast, mast mamm mammo]
[chest, steth pector]
[cheek, parei bucc]
[ear, ot oto aur auri]
[eggs, oo ov]
[ova, oo ov]
[eye, ophthalm opthalmo ocul oculo]
[eyelid, blephar blepharo cili palpbr]
[face, prosop prosopp faci facio]
[fallopian tubes, salping]
[fat, lip lipo adip]
[finger, dactyl dactylo digit]
[forehead, front fronto]
[gallbladder cholecyst cholecysto fell]
[genitals, gon gono phall phallo]
[gland, aden adeno]
[glans, balan balano]
[penis, balan balano]
[clitoridis, balan balano]
[gums, gingiv]
[hair, trich tricho capill]
[hand, cheir cheiro chir chiro manu]
[head, cephal cephalo capit capito]
[heart, cardi cardio cordi]
[hip, cox]
[hip-joint, cox]
[horn, cerat cerato cornu]
[intestine, enter entero]
[jaw, gnath gnatho]
[kidney, nephr nephro ren]
[knee, gon genu]
[lip, cheil cheilo chil chilo labi labio]
[liver, hepat hepato hepatic jecor]
[lions, episi episio pudend]
[pubic region, episi episio pudend]
[lungs, pneumon pulmon pulmoni pulmo]
[marrow, myel myelo medull]
[bone marrow, myel myelo medull]
[mind, psych ment]
[mouth, stomat stomato or]
[muscle, my myo]
[nail, onych onycho ungui]
[navel, omphal omphalo umbilic]
[neck, trachel trachelo cervic]
[nerve, neur neuro nerv]
[nervous system, neur neuro nerv]
[nipple, thele papill mammil]
[teat, thele papill mammil]
[nose, rhin rhino nas]
[ovary, oophor oophoro ovari ovario]
[pelvis, pyel pyelo pelv pelvi]
[pupil eye, cor core coro]
[rib, pleur pleuro cost costo]
[rib cage, thorac thoraci thorac thoraco]
[shoulder, om omo humer humero]
[sinus, sinus]
[skin, dermat dermato derm cut cuticul]
[skull, crani cranio]
[stomach, gastr gastro ventr ventro]
[testis, orchi orchio orchid orchido]
[throat, pharyng pharyngo laryng laryngo]
[thumb, pollic]
[tooth, odont odonto dent denti]
[tongue, gloss glott lingu lingua]
[toe, dactyl digit]
[tumour, cel onc onco tum]
[ureter, urethr urethro]
[urethra, urethr urethro urethra]
[urine, ur uro urino]
[urinary system, ur uro urino]
[uterine tubes, salping salpingo]
[uterus, hyster hyserto metr metro uter utero]
[vagina, colp colpo vagin]
[vein, phleb phlebo ven]
[vulva, episi episio vulv]
[womb, hyster hystero metr metro uter utero]
[wrist, carp carpo]





